"school_id","year","subject","subgroup","acr_rate","pass_rate","acr_suppressed","pass_suppressed","denominator","source"
"510006001737",2022,"English (ELA)","All Students",92,64,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006002028",2022,"English (ELA)","All Students",76,73,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006002434",2022,"English (ELA)","All Students",77,57,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006000006",2022,"English (ELA)","All Students",73,56,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006000007",2022,"English (ELA)","All Students",85,77,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006000009",2022,"English (ELA)","All Students",80,52,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006001738",2022,"English (ELA)","All Students",89,56,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006002003",2022,"English (ELA)","All Students",82,80,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006002433",2022,"English (ELA)","All Students",84,67,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006000012",2022,"English (ELA)","All Students",88,56,FALSE,FALSE,,"vdoe_accreditation_rates"
"510006000014",2022,"English (ELA)","All Students",87,87,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000002",2022,"English (ELA)","All Students",86,65,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000015",2022,"English (ELA)","All Students",91,89,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009001937",2022,"English (ELA)","All Students",94,78,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000017",2022,"English (ELA)","All Students",93,76,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000018",2022,"English (ELA)","All Students",92,83,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000030",2022,"English (ELA)","All Students",91,88,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000020",2022,"English (ELA)","All Students",89,71,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000022",2022,"English (ELA)","All Students",97,89,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000028",2022,"English (ELA)","All Students",91,86,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000024",2022,"English (ELA)","All Students",80,69,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000025",2022,"English (ELA)","All Students",88,84,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000023",2022,"English (ELA)","All Students",75,59,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000751",2022,"English (ELA)","All Students",89,82,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000026",2022,"English (ELA)","All Students",80,70,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009000027",2022,"English (ELA)","All Students",86,49,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009001747",2022,"English (ELA)","All Students",95,94,FALSE,FALSE,,"vdoe_accreditation_rates"
"510009002173",2022,"English (ELA)","All Students",86,57,FALSE,FALSE,,"vdoe_accreditation_rates"
