LEAID,NAME,STFIP
"0100002",Alabama Youth Services,"01"
"0100005",Albertville City,"01"
"0100006",Marshall County,"01"
"0100007",Hoover City,"01"
"0100008",Madison City,"01"
"0100009",Al Inst Deaf And Blind,"01"
"0100010",Al Sch Of Math And Science,"01"
"0100011",Leeds City,"01"
"0100012",Boaz City,"01"
"0100013",Trussville City,"01"
"0100018",Alabama School of Fine Arts,"01"
"0100030",Alexander City,"01"
"0100060",Andalusia City,"01"
"0100090",Anniston City,"01"
"0100100",Arab City,"01"
"0100120",Athens City,"01"
"0100176",JF Ingram State Technical College,"01"
"0100180",Attalla City,"01"
"0100185",Saraland City,"01"
"0100188",Chickasaw City,"01"
"0100189",Satsuma City,"01"
"0100190",Alabaster City,"01"
"0100194",Pelham City,"01"
"0100195",Pike Road City,"01"
"0100197",MAEF Public Charter Schools,"01"
"0100199",University Charter School,"01"
"0100201",Legacy Prep,"01"
"0100202",Gulf Shores City,"01"
"0100203",LEAD Academy,"01"
"0100204",i3 Academy,"01"
"0100207",LIFE Academy,"01"
"0100208",Breakthrough Charter School,"01"
"0100209",Ivy Classical Academy,"01"
"0100210",Auburn City,"01"
"0100211",Magic City Acceptance Academy,"01"
"0100212",Alabama School of Cyber Technology and Engineering,"01"
"0100213",Alabama Aerospace and Aviation,"01"
"0100240",Autauga County,"01"
"0100270",Baldwin County,"01"
"0100300",Barbour County,"01"
"0100330",Bessemer City,"01"
"0100360",Bibb County,"01"
"0100390",Birmingham City,"01"
"0100420",Blount County,"01"
"0100450",Brewton City,"01"
"0100480",Bullock County,"01"
"0100510",Butler County,"01"
"0100540",Calhoun County,"01"
"0100600",Chambers County,"01"
"0100630",Cherokee County,"01"
"0100660",Chilton County,"01"
"0100690",Choctaw County,"01"
"0100720",Clarke County,"01"
"0100750",Clay County,"01"
"0100780",Cleburne County,"01"
"0100810",Coffee County,"01"
"0100840",Colbert County,"01"
"0100870",Conecuh County,"01"
"0100900",Coosa County,"01"
"0100930",Covington County,"01"
"0100960",Crenshaw County,"01"
"0100990",Cullman City,"01"
"0101020",Cullman County,"01"
"0101050",Dale County,"01"
"0101080",Daleville City,"01"
"0101110",Dallas County,"01"
"0101140",DeKalb County,"01"
"0101170",Decatur City,"01"
"0101200",Demopolis City,"01"
"0101230",Dothan City,"01"
"0101260",Elba City,"01"
"0101290",Elmore County,"01"
"0101320",Enterprise City,"01"
"0101350",Escambia County,"01"
"0101380",Etowah County,"01"
"0101410",Eufaula City,"01"
"0101440",Fairfield City,"01"
"0101470",Fayette County,"01"
"0101530",Florence City,"01"
"0101560",Fort Payne City,"01"
"0101590",Franklin County,"01"
"0101620",Gadsden City,"01"
"0101640",Geneva City,"01"
"0101660",Geneva County,"01"
"0101680",Greene County,"01"
"0101690",Guntersville City,"01"
"0101710",Hale County,"01"
"0101720",Haleyville City,"01"
"0101730",Hartselle City,"01"
"0101740",Henry County,"01"
"0101760",Homewood City,"01"
"0101770",Houston County,"01"
"0101800",Huntsville City,"01"
"0101830",Jackson County,"01"
"0101860",Jacksonville City,"01"
"0101890",Jasper City,"01"
"0101920",Jefferson County,"01"
"0101950",Lamar County,"01"
"0101980",Lanett City,"01"
"0102010",Lauderdale County,"01"
"0102040",Lawrence County,"01"
"0102070",Lee County,"01"
"0102100",Limestone County,"01"
"0102130",Linden City,"01"
"0102160",Lowndes County,"01"
"0102190",Macon County,"01"
"0102220",Madison County,"01"
"0102250",Marengo County,"01"
"0102310",Marion County,"01"
"0102350",Midfield City,"01"
"0102370",Mobile County,"01"
"0102400",Monroe County,"01"
"0102430",Montgomery County,"01"
"0102480",Morgan County,"01"
"0102490",Mountain Brook City,"01"
"0102520",Muscle Shoals City,"01"
"0102550",Oneonta City,"01"
"0102580",Opelika City,"01"
"0102610",Opp City,"01"
"0102635",Oxford City,"01"
"0102640",Ozark City,"01"
"0102650",Pell City,"01"
"0102670",Perry County,"01"
"0102700",Phenix City,"01"
"0102730",Pickens County,"01"
"0102760",Piedmont City,"01"
"0102790",Pike County,"01"
"0102820",Randolph County,"01"
"0102850",Roanoke City,"01"
"0102880",Russell County,"01"
"0102910",Russellville City,"01"
"0102940",Scottsboro City,"01"
"0102970",Selma City,"01"
"0103000",Sheffield City,"01"
"0103030",Shelby County,"01"
"0103062",St Clair County,"01"
"0103090",Sumter County,"01"
"0103120",Sylacauga City,"01"
"0103150",Talladega City,"01"
"0103180",Talladega County,"01"
"0103210",Tallapoosa County,"01"
"0103240",Tallassee City,"01"
"0103270",Tarrant City,"01"
"0103300",Thomasville City,"01"
"0103330",Troy City,"01"
"0103360",Tuscaloosa City,"01"
"0103390",Tuscaloosa County,"01"
"0103420",Tuscumbia City,"01"
"0103430",Vestavia Hills City,"01"
"0103450",Walker County,"01"
"0103480",Washington County,"01"
"0103510",Wilcox County,"01"
"0103540",Winfield City,"01"
"0103580",Winston County,"01"
"0103581",Orange Beach City,"01"
"0103582",Empower Schools of Alabama,"01"
"0103583",Covenant Academy of Mobile,"01"
"0103584",Barnabas School of Leadership,"01"
"0103585",Freedom Prep Academy,"01"
"0103586",Floretta P Carson Visual and Performing Arts,"01"
"0103587",Independence Preparatory Academy,"01"
"0103588",I Dream Big Charter Schools,"01"
"0200001",Lower Kuskokwim School District,"02"
"0200003",Lower Yukon School District,"02"
"0200004",Yupiit School District,"02"
"0200005",Kashunamiut School District,"02"
"0200006",Mount Edgecumbe,"02"
"0200007",Aleutians East Borough School District,"02"
"0200010",Aleutian Region School District,"02"
"0200020",Bering Strait School District,"02"
"0200030",Bristol Bay Borough School District,"02"
"0200050",Alaska Gateway School District,"02"
"0200060",Cordova City School District,"02"
"0200070",Copper River School District,"02"
"0200090",Craig City School District,"02"
"0200100",Delta/Greely School District,"02"
"0200120",Dillingham City School District,"02"
"0200130",Galena City School District,"02"
"0200150",Ketchikan Gateway Borough School District,"02"
"0200180",Anchorage School District,"02"
"0200210",Juneau Borough School District,"02"
"0200240",Sitka School District,"02"
"0200270",Haines Borough School District,"02"
"0200300",Hoonah City School District,"02"
"0200330",Hydaburg City School District,"02"
"0200360",Kake City School District,"02"
"0200390",Kenai Peninsula Borough School District,"02"
"0200450",Klawock City School District,"02"
"0200480",Kodiak Island Borough School District,"02"
"0200485",Lake and Peninsula Borough School District,"02"
"0200510",Matanuska-Susitna Borough School District,"02"
"0200520",Iditarod Area School District,"02"
"0200525",Annette Island School District,"02"
"0200540",Nenana City School District,"02"
"0200570",Nome Public Schools,"02"
"0200600",Fairbanks North Star Borough School District,"02"
"0200610",North Slope Borough School District,"02"
"0200625",Northwest Arctic Borough School District,"02"
"0200630",Pelican City School District,"02"
"0200660",Petersburg Borough School District,"02"
"0200670",Pribilof School District,"02"
"0200680",Saint Mary's School District,"02"
"0200690",Skagway School District,"02"
"0200700",Southeast Island School District,"02"
"0200710",Southwest Region School District,"02"
