Enrollment
2/13/2026

Year,Level,Division,School,Grade,Count
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",,396
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",PK,24
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",KG,74
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",01,50
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",02,72
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",03,59
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",04,56
"2022 - 2023",SCH,"Accomack County Public Schools","Accawmacke Elementary",05,61
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",,719
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",PG,6
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",09,247
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",10,181
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",11,137
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia High",12,148
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia Middle ",,482
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia Middle ",06,159
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia Middle ",07,168
"2022 - 2023",SCH,"Accomack County Public Schools","Arcadia Middle ",08,155
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",,224
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",PK,20
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",KG,24
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",01,40
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",02,29
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",03,35
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",04,36
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague Elementary",05,40
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",,296
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",PG,1
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",06,50
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",07,36
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",08,51
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",09,36
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",10,41
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",11,45
"2022 - 2023",SCH,"Accomack County Public Schools","Chincoteague High",12,36
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",,479
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",PK,41
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",KG,57
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",01,80
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",02,80
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",03,69
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",04,72
"2022 - 2023",SCH,"Accomack County Public Schools","Kegotank Elementary",05,80
"2022 - 2023",SCH,"Accomack County Public Schools","Metompkin Elementary",,535
"2022 - 2023",SCH,"Accomack County Public Schools","Metompkin Elementary",PK,27
"2022 - 2023",SCH,"Accomack County Public Schools","Metompkin Elementary",KG,77
