"Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",SCH,62.6
"2022 - 2023","Accomack County Public Schools","Arcadia High",SCH,41.4
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",SCH,50.2
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",SCH,51.1
"2022 - 2023","Accomack County Public Schools","Chincoteague High",SCH,50.2
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",SCH,61.3
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",SCH,68
"2022 - 2023","Accomack County Public Schools","Nandua High",SCH,46.1
"2022 - 2023","Accomack County Public Schools","Nandua Middle",SCH,61.5
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",SCH,63.5
"2022 - 2023","Accomack County Public Schools","Tangier Combined",SCH,58.6
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",SCH,62.3
"2022 - 2023","Albemarle County Public Schools","Albemarle High",SCH,35.9
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",SCH,63
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",SCH,59.8
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",SCH,62.9
"2022 - 2023","Albemarle County Public Schools","Community Lab School",SCH,49.6
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",SCH,60.5
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",SCH,56.5
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",SCH,64.8
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",SCH,62.5
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",SCH,45
"2022 - 2023","Albemarle County Public Schools","Journey Middle",SCH,57.3
"2022 - 2023","Albemarle County Public Schools","Lakeside Middle",SCH,51.3
"2022 - 2023","Albemarle County Public Schools","Leslie H. Walton Middle",SCH,64.5
"2022 - 2023","Albemarle County Public Schools","Mary Carr Greer Elementary",SCH,73.7
"2022 - 2023","Albemarle County Public Schools","Monticello High",SCH,29.4
"2022 - 2023","Albemarle County Public Schools","Mountain View Elementary",SCH,75.6
"2022 - 2023","Albemarle County Public Schools","Red Hill Elementary",SCH,63.1
"2022 - 2023","Albemarle County Public Schools","Scottsville Elementary",SCH,82.1
"2022 - 2023","Albemarle County Public Schools","Stone Robinson Elementary",SCH,68.7
"2022 - 2023","Albemarle County Public Schools","Stony Point Elementary",SCH,61.9
"2022 - 2023","Albemarle County Public Schools","Virginia L. Murray Elementary",SCH,61.9
"2022 - 2023","Albemarle County Public Schools","Western Albemarle High",SCH,41.4
"2022 - 2023","Albemarle County Public Schools","Woodbrook Elementary",SCH,70.1
"2022 - 2023","Alexandria City Public Schools","Alexandria City High",SCH,42.9
"2022 - 2023","Alexandria City Public Schools","Charles Barrett Elementary",SCH,71.5
"2022 - 2023","Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",SCH,87.8
"2022 - 2023","Alexandria City Public Schools","Douglas MacArthur Elementary",SCH,75.5
"2022 - 2023","Alexandria City Public Schools","Ferdinand T. Day Elementary",SCH,76.2
"2022 - 2023","Alexandria City Public Schools","Francis C. Hammond Middle",SCH,70.5
"2022 - 2023","Alexandria City Public Schools","George Mason Elementary",SCH,83.2
"2022 - 2023","Alexandria City Public Schools","George Washington Middle",SCH,66.2
"2022 - 2023","Alexandria City Public Schools","James K. Polk Elementary",SCH,73.6
"2022 - 2023","Alexandria City Public Schools","Jefferson-Houston PK-8 School",SCH,86.4
"2022 - 2023","Alexandria City Public Schools","John Adams Elementary",SCH,78.1
"2022 - 2023","Alexandria City Public Schools","Lyles-Crouch Elementary",SCH,75.9
"2022 - 2023","Alexandria City Public Schools","Mount Vernon Elementary",SCH,78.7
"2022 - 2023","Alexandria City Public Schools","Naomi L. Brooks Elementary",SCH,75.7
"2022 - 2023","Alexandria City Public Schools","Patrick Henry K-8 School",SCH,88.8
"2022 - 2023","Alexandria City Public Schools","Samuel W. Tucker Elementary",SCH,61.3
"2022 - 2023","Alexandria City Public Schools","William Ramsay Elementary",SCH,73.6
"2022 - 2023","Alleghany Highlands Public Schools","Alleghany High",SCH,51.1
