"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",SCH,94
"2022 - 2023","Accomack County Public Schools","Arcadia High",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Chincoteague High",SCH,94
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",SCH,94
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Nandua High",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Nandua Middle",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Tangier Combined",SCH,94.3
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",SCH,69.4
"2022 - 2023","Albemarle County Public Schools","Albemarle High",SCH,33.8
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",SCH,28.5
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",SCH,20.1
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",SCH,16.8
"2022 - 2023","Albemarle County Public Schools","Community Lab School",SCH,7.3
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",SCH,17.2
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",SCH,18.7
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",SCH,7.6
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",SCH,45.1
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",SCH,13.4
"2022 - 2023","Albemarle County Public Schools","Journey Middle",SCH,52.5
"2022 - 2023","Albemarle County Public Schools","Lakeside Middle",SCH,23
"2022 - 2023","Albemarle County Public Schools","Leslie H. Walton Middle",SCH,38.2
