"Short Term Suspensions"
2/13/2026

Year,School,Division,Subgroup,Level,"Percent of the Student Population","Number Suspended Short Term","Number of Short Term Suspendable Incidents","Percent of Short Term Suspensions"
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",Asian,SCH,0.8,,,
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",Black,SCH,42.9,13,24,54.2
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",Hispanic,SCH,25.3,2,24,8.3
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary","Multiple Races",SCH,2,,,
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",White,SCH,29,9,24,37.5
"2022 - 2023","Accomack County Public Schools","Arcadia High","American Indian",SCH,0.1,,,
"2022 - 2023","Accomack County Public Schools","Arcadia High",Asian,SCH,0.6,,,
"2022 - 2023","Accomack County Public Schools","Arcadia High",Black,SCH,34.5,48,98,49
"2022 - 2023","Accomack County Public Schools","Arcadia High",Hispanic,SCH,33.8,12,98,12.2
"2022 - 2023","Accomack County Public Schools","Arcadia High","Multiple Races",SCH,1.5,3,98,3.1
"2022 - 2023","Accomack County Public Schools","Arcadia High",White,SCH,29.5,35,98,35.7
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",Asian,SCH,0.6,,,
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",Black,SCH,36.3,44,86,51.2
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",Hispanic,SCH,34.6,13,86,15.1
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ","Multiple Races",SCH,1.7,6,86,7
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",White,SCH,26.8,23,86,26.7
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary","American Indian",SCH,0.4,,,
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",Black,SCH,12.5,7,23,30.4
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",Hispanic,SCH,5.4,,,
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary","Multiple Races",SCH,3.6,,,
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",White,SCH,78.1,16,23,69.6
"2022 - 2023","Accomack County Public Schools","Chincoteague High","American Indian",SCH,0.7,,,
"2022 - 2023","Accomack County Public Schools","Chincoteague High",Black,SCH,10.5,5,38,13.2
"2022 - 2023","Accomack County Public Schools","Chincoteague High",Hispanic,SCH,4.1,1,38,2.6
"2022 - 2023","Accomack County Public Schools","Chincoteague High","Multiple Races",SCH,4.7,2,38,5.3
"2022 - 2023","Accomack County Public Schools","Chincoteague High",White,SCH,80.1,30,38,78.9
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary","American Indian",SCH,0.2,1,68,1.5
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",Asian,SCH,0.8,1,68,1.5
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",Black,SCH,39,38,68,55.9
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",Hispanic,SCH,25.1,5,68,7.4
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary","Multiple Races",SCH,0.4,1,68,1.5
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",White,SCH,34.4,22,68,32.4
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",Black,SCH,39.6,32,48,66.7
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",Hispanic,SCH,37.8,5,48,10.4
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary","Multiple Races",SCH,3.2,1,48,2.1
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",White,SCH,19.4,10,48,20.8
"2022 - 2023","Accomack County Public Schools","Nandua High",Asian,SCH,1.2,,,
"2022 - 2023","Accomack County Public Schools","Nandua High",Black,SCH,40.3,52,69,75.4
"2022 - 2023","Accomack County Public Schools","Nandua High",Hispanic,SCH,24,3,69,4.3
"2022 - 2023","Accomack County Public Schools","Nandua High","Multiple Races",SCH,0.9,1,69,1.4
"2022 - 2023","Accomack County Public Schools","Nandua High",White,SCH,33.7,13,69,18.8
"2022 - 2023","Accomack County Public Schools","Nandua Middle",Asian,SCH,1.3,1,89,1.1
"2022 - 2023","Accomack County Public Schools","Nandua Middle",Black,SCH,43.2,49,89,55.1
"2022 - 2023","Accomack County Public Schools","Nandua Middle",Hispanic,SCH,21.3,14,89,15.7
"2022 - 2023","Accomack County Public Schools","Nandua Middle","Multiple Races",SCH,1.3,2,89,2.2
"2022 - 2023","Accomack County Public Schools","Nandua Middle","Native Hawaiian",SCH,0.6,,,
"2022 - 2023","Accomack County Public Schools","Nandua Middle",White,SCH,32.3,23,89,25.8
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",Black,SCH,43.2,30,48,62.5
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",Hispanic,SCH,15.1,,,
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary","Multiple Races",SCH,3.3,4,48,8.3
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",White,SCH,38.4,14,48,29.2
"2022 - 2023","Accomack County Public Schools","Tangier Combined",White,SCH,100,2,2,100
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",Asian,SCH,6.8,,,
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",Black,SCH,20.1,,,
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",Hispanic,SCH,31.1,,,
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary","Multiple Races",SCH,8.2,,,
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",White,SCH,33.8,,,
"2022 - 2023","Albemarle County Public Schools","Albemarle High","American Indian",SCH,0.1,,,
"2022 - 2023","Albemarle County Public Schools","Albemarle High",Asian,SCH,7.9,2,79,2.5
"2022 - 2023","Albemarle County Public Schools","Albemarle High",Black,SCH,17,44,79,55.7
"2022 - 2023","Albemarle County Public Schools","Albemarle High",Hispanic,SCH,19,8,79,10.1
"2022 - 2023","Albemarle County Public Schools","Albemarle High","Multiple Races",SCH,6.8,6,79,7.6
"2022 - 2023","Albemarle County Public Schools","Albemarle High",White,SCH,49.5,19,79,24.1
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary","American Indian",SCH,0.1,,,
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",Asian,SCH,11.1,,,
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",Black,SCH,9.6,1,7,14.3
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",Hispanic,SCH,15.5,2,7,28.6
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary","Multiple Races",SCH,11.5,1,7,14.3
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary","Native Hawaiian",SCH,0.3,,,
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",White,SCH,51.9,3,7,42.9
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",Asian,SCH,2.1,,,
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",Black,SCH,2.1,,,
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",Hispanic,SCH,11.1,,,
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary","Multiple Races",SCH,5.6,,,
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",White,SCH,79.2,,,
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",Asian,SCH,5.2,,,
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",Black,SCH,3,1,5,20
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",Hispanic,SCH,4.9,,,
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary","Multiple Races",SCH,6.4,,,
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary","Native Hawaiian",SCH,0.2,,,
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",White,SCH,80.2,4,5,80
"2022 - 2023","Albemarle County Public Schools","Community Lab School","American Indian",SCH,0.5,,,
"2022 - 2023","Albemarle County Public Schools","Community Lab School",Asian,SCH,3.6,,,
"2022 - 2023","Albemarle County Public Schools","Community Lab School",Black,SCH,5.7,1,5,20
"2022 - 2023","Albemarle County Public Schools","Community Lab School",Hispanic,SCH,11.5,1,5,20
"2022 - 2023","Albemarle County Public Schools","Community Lab School","Multiple Races",SCH,9.9,,,
"2022 - 2023","Albemarle County Public Schools","Community Lab School",White,SCH,68.8,3,5,60
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",Asian,SCH,3.3,,,
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",Black,SCH,1.4,,,
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",Hispanic,SCH,7.4,,,
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary","Multiple Races",SCH,6,,,
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",White,SCH,81.9,3,3,100
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",Asian,SCH,18.2,,,
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",Black,SCH,6,,,
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",Hispanic,SCH,6.3,,,
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary","Multiple Races",SCH,9.9,,,
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",White,SCH,59.7,,,
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",Asian,SCH,2.6,,,
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",Black,SCH,0.6,,,
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",Hispanic,SCH,6.1,1,3,33.3
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary","Multiple Races",SCH,3.5,,,
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",White,SCH,87.2,2,3,66.7
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",Asian,SCH,4.4,1,40,2.5
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",Black,SCH,19.2,16,40,40
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",Hispanic,SCH,25.9,11,40,27.5
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle","Multiple Races",SCH,8.5,4,40,10
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle","Native Hawaiian",SCH,0.2,,,
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",White,SCH,41.8,8,40,20
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",Asian,SCH,3.5,,,
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",Black,SCH,2.2,2,40,5
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",Hispanic,SCH,6.2,5,40,12.5
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle","Multiple Races",SCH,5.4,3,40,7.5
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",White,SCH,83.2,30,40,75
"2022 - 2023","Albemarle County Public Schools","Journey Middle","American Indian",SCH,0.2,,,
